#Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
#Radial velocity: 0 km/s
#Wavelength accuracy upper limit: 5%
#Element/Spectrum: H I, He I-II, O I-IV, C I-IV, Ne I-III, Fe I-III, N I-IV, Si I-IV, Mg I-IV, S I-IV, V I-II, Cr I-II, Ni I-II, Sc I-II, Ti I-II, Ca I-II, Na I-II
#Minimum line strength: -0.5 Type: log(gf)
#Include lines without atomic data: false
#Minimum abundance: no minimum
#Lower level energy range: no restrictions   Unit: cm^-1
#Upper level energy range: no restrictions
#Maximum for principal quantum number n: no restrictions
#Transition types included: E1
#Transitions from auto-ionizing levels: included
wl_air, spc, -lg(gf), tpf, ref
4145.648,	Fe III,	0.7443,	30,	ASD
4145.77,	N II,	-0.023,	3,	030
4145.793,	Fe III,	-0.3036,	30,	ASD
4145.887,	Fe III,	-0.3315,	3,	ASD
4145.906,	O II,	0.1626,	3,	ASD
4146.076,	O II,	0.7067,	3,	ASD
4146.78,	N III,	0.1064,	3,	ASD
4148.335,	Fe III,	-0.316,	3,	ASD
4148.785,	Fe III,	-0.262,	30,	ASD
4150.228,	Ne III,	-0.3196,	3,	008
4152.1,		N III,	-0.174,	3,	ASD
4152.514,	C III,	-0.1122,	3,	ASD
4153.068,	S II,	0.6414,	3,	ASD
4153.2977,	O II,	0.0704,	15,	ASD
4153.677,	Fe III,	-0.41,	30,	ASD
4153.89965,	Fe I,	-0.1599,	30,	061
4154.358,	Fe III,	-0.3925,	30,	ASD
4154.49866,	Fe I,	-0.4145,	30,	061
4154.77,	N II,	-0.1462,	3,	030
4154.963,	Fe III,	0.871,	30,	ASD
4155.358,	Fe III,	-0.433,	30,	ASD
4156.504,	C III,	0.0581,	3,	ASD
4157.114,	Fe III,	0.2856,	30,	ASD
4157.77972,	Fe I,	-0.3316,	30,	061
4160.195,	Fe III,	-0.4724,	30,	ASD
4162.305,	S II,	0.0148,	3,	ASD
4162.665,	S II,	0.8042,	3,	ASD
4162.877,	C III,	0.2177,	3,	ASD
4163.171,	Fe III,	-0.2233,	30,	ASD
4163.333,	Fe III,	-0.1118,	30,	ASD
4163.648,	Ti II,	-0.3918,	ASD,	089
4164.731,	Fe III,	0.9722,	30,	ASD
4164.916,	Fe III,	1.017,	30,	ASD
4165.1,		S II,	-0.1159,	3,	ASD
4165.506,	Fe III,	-0.4685,	30,	ASD
4165.515,	Cr I,	0.4044,	ASD,	ASD
4165.81,	N II,	-0.2935,	3,	030
4166.84,	Fe III,	0.4594,	30,	ASD
4166.878,	Fe III,	-0.3261,	30,	ASD
4168.363,	S II,	-0.3235,	3,	ASD
4168.384,	S II,	-0.1472,	3,	ASD
4168.449,	Fe III,	-0.2741,	30,	ASD
4169.2236,	O II,	-0.4067,	15,	ASD
4170.577,	Fe III,	0.3054,	30,	ASD
4173.67,	N IV,	-0.1007,	r3,	ASD
4174.002,	S II,	0.672,	3,	ASD
4174.26,	Fe III,	1.1614,	30,	ASD
4174.265,	S II,	0.7847,	3,	ASD
4174.708,	Fe III,	0.4048,	30,	ASD
4174.809,	Fe III,	-0.4461,	30,	ASD
4177.283,	Fe III,	-0.4776,	30,	ASD
4177.41,	Fe III,	0.3802,	30,	ASD
4177.864,	Fe III,	0.2122,	30,	ASD
4178.835,	Fe III,	-0.091,	30,	ASD
4182.59,	N IV,	0.1203,	r3,	ASD
4184.049,	Fe III,	0.4014,	30,	ASD
4184.163,	Fe III,	0.301,	30,	ASD
4184.984,	Fe III,	-0.3187,	30,	ASD
4185.44,	O II,	0.6038,	3,	ASD
4185.929,	S II,	-0.0701,	3,	ASD
4186.1181,	Ti I,	-0.3038,	ASD,	ASD
4186.9,		C III,	0.9172,	3,	ASD
4187.03877,	Fe I,	-0.4449,	30,	061
4187.79526,	Fe I,	-0.4485,	30,	061
4188.731,	Fe I,	0.0086,	30,	061
4188.895,	Fe III,	0.3464,	30,	ASD
4189.681,	S II,	-0.0334,	3,	ASD
4189.788,	O II,	0.7161,	3,	ASD
4190.71,	Si II,	-0.2746,	3,	ASD
4192.512,	O II,	-0.4707,	3,	ASD
4193.803,	Fe III,	-0.3883,	30,	ASD
4193.88,	Fe III,	0.1959,	30,	ASD
4193.94,	Fe III,	-0.0958,	30,	ASD
4194.707,	Fe III,	-0.2807,	30,	ASD
4195.32891,	Fe I,	-0.2456,	30,	061
4195.464,	Fe III,	0.3444,	30,	ASD
4195.5242,	Ni I,	-0.4237,	30,	095
4195.74,	N III,	-0.005,	3,	ASD
4196.2087,	Fe I,	-0.3116,	30,	061
4198.24668,	Fe I,	-0.2351,	30,	061
4198.63406,	Fe I,	-0.4881,	30,	061
4199.09506,	Fe I,	0.2491,	ASD,	061
4199.567,	Ne III,	0.3793,	3,	008
4200.07,	N III,	0.2499,	3,	ASD
4201.533,	Ne III,	-0.3533,	3,	008
4201.705,	Fe III,	-0.2823,	30,	ASD
4201.7147,	Ni I,	-0.4342,	30,	095
4202.952,	Ne III,	0.5496,	3,	008
4203.834,	Fe III,	0.1903,	30,	ASD
4203.9383,	Fe I,	-0.3487,	ASD,	061
4205.893,	Fe III,	0.2625,	30,	ASD
4206.11,	N II,	0.4493,	3,	030
4206.115,	Ne III,	-0.3538,	3,	008
4206.51,	N II,	0.6431,	3,	030
4207.355,	Ne III,	0.7094,	3,	008
4207.5,		N II,	0.8093,	3,	030
4208.09,	N II,	0.0901,	3,	030
4208.61,	Fe III,	-0.3767,	30,	ASD
4209.06,	N II,	-0.0562,	3,	030
4209.39,	Fe III,	-0.1029,	30,	ASD
4210.674,	Fe III,	0.7259,	30,	ASD
4212.397,	Si IV,	0.384,	18,	ASD
4212.414,	Si IV,	0.5388,	18,	ASD
4217.182,	S II,	-0.1434,	3,	ASD
4217.54562,	Fe I,	-0.1319,	30,	061
4219.369,	Ne II,	-0.1518,	ASD,	025
4222.271,	Fe III,	0.2504,	30,	ASD
4224.03,	Ne III,	0.3767,	3,	008
4225.45431,	Fe I,	-0.065,	30,	061
4226.01,	Ne III,	0.5472,	3,	008
4226.019,	Ne III,	-0.3559,	3,	008
4226.7276,	Ca I,	0.2455,	17,	ASD
4227.4266,	Fe I,	0.4654,	30,	061
4227.736,	N II,	-0.0817,	3,	030
4229.208,	Ne III,	-0.3562,	3,	008
4229.314,	Ne III,	0.7072,	3,	008
4230.946,	S II,	0.4049,	3,	ASD
4231.532,	Ne II,	-0.4503,	ASD,	025
4232.455,	V I,	0.4205,	ASD,	ASD
4232.946,	V I,	0.219,	ASD,	ASD
4235.211,	Fe III,	0.1818,	30,	ASD
4235.93646,	Fe I,	-0.2472,	30,	061
4237.66,	C III,	-0.4884,	3,	"ASD,	070"
